mention,source,time,compound,percentChange
dish,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.7506,"[8.308611849163244, 2.077156499658573, 2.077156499658573]"
aig,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.8126,"[-1.9890315950142832, -1.5661707500358168, -0.04698321067154566]"
crbg,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.8126,"[-1.2236906327243884, -2.2515956189425577, -4.698976884391334]"
gs,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.8126,"[0.754351547185198, -0.41908735077526943, 1.049267324241376]"
jpm,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.8126,"[0.8431515296375752, 0.5435153014793828, 2.034700216510859]"
spx,Marketwatch / MarketPulse (up-to-the-minute market updates),2023-11-07 10:29:45.772448,0.8126,[]
indu,stockcharts,2023-11-27 17:19:08.010571,0.9975,[]
nke,stockcharts,2023-11-27 17:19:08.010571,0.9975,"[1.0124431551308277, 2.5171827905356396, 2.4242921160847133, 5.405907019184461]"
cat,stockcharts,2023-11-27 17:19:08.010571,0.9975,"[0.218656167578769, 1.0082564652907353, 1.5225115017073767, 3.968255096102379]"
msft,stockcharts,2023-11-27 17:19:08.010571,0.9975,"[1.5712122317835906, 0.5493941639485168, 0.5653179281579048, -0.6024706781215174]"
mrk,stockcharts,2023-11-27 17:19:08.010571,0.9975,"[-1.6975795258231525, -0.765387479797939, 0.5593167248959166, 1.5209453112202929]"
iwm,stockcharts,2023-11-27 17:19:08.011835,0.9894,"[-0.25770684250262604, 0.26890516948967086, 0.6498619955794818, 3.5910384661677166]"
spy,stockcharts,2023-11-27 17:19:08.011835,0.9894,"[0.06158556759172104, -0.008799856034086789, 0.38491147552911736, 0.9787775798462757]"
xrt,stockcharts,2023-11-27 17:19:08.011835,0.9894,"[0.7385311521225039, 1.4142073138129205, 1.5084838052792438, 5.358271047790173]"
iyt,stockcharts,2023-11-27 17:19:08.011835,0.9894,"[-0.6459606272394964, -0.304466358310013, 0.6171569558386605, 3.427279048122786]"
smh,stockcharts,2023-11-27 17:19:08.011835,0.9894,"[-0.30393591952233423, 0.6140711361295602, -0.4590035278259472, -0.05582206749113216]"
googl,stockcharts,2023-11-27 17:19:08.012422,0.4588,"[0.8601030503893387, -0.7645323057160054, -2.5729618697406647, -3.0654989387384797]"
nflx,stockcharts,2023-11-27 17:19:08.012422,0.4588,"[-0.006262400971404782, -0.3841087912196424, -1.056300768529747, -2.774358302984897]"
spot,stockcharts,2023-11-27 17:19:08.012422,0.4588,"[0.33516517052283656, 0.17032832889766483, 1.7087915441492103, -0.7197788783482143]"
nvda,stockcharts,2023-11-27 17:19:08.012422,0.4588,"[0.043931266752745814, 0.7112957942435931, -2.1548091617089433, -2.1652732434133104]"
tsla,stockcharts,2023-11-27 17:19:08.012422,0.4588,"[4.14960608568613, 3.0604922194604085, 1.346617607170143, 0.8189465348493827]"
$indu,stockcharts,2023-11-27 17:19:08.013043,0.9977,[]
$spx,stockcharts,2023-11-27 17:19:08.013043,0.9977,[]
$compq,stockcharts,2023-11-27 17:19:08.013043,0.9977,[]
$sml,stockcharts,2023-11-27 17:19:08.013043,0.9977,[]
$mid,stockcharts,2023-11-27 17:19:08.013043,0.9977,[]
$tnx,stockcharts,2023-11-27 17:19:08.013043,0.9977,[]
tlt,stockcharts,2023-11-27 17:19:08.013043,0.9977,"[1.3067555540385012, 2.5802814207267066, 1.39534270681446, 2.9789531795141553]"
$vix,stockcharts,2023-11-27 17:19:08.013043,0.9977,[]
amzn,stockcharts,2023-11-27 17:19:08.013043,0.9977,"[-0.3389141219664714, -0.8201663831694718, -0.9760743261175489, -0.3389141219664714]"
gps,stockcharts,2023-11-27 17:19:08.013043,0.9977,"[3.4391514902094986, 6.6666680122389215, 6.190476719093862, 11.21693588371753]"
rost,stockcharts,2023-11-27 17:19:08.013043,0.9977,"[-0.34416592599784895, -1.1854707852832218, -0.2829790571223709, 1.0630970475322659]"
tgt,stockcharts,2023-11-27 17:19:08.013043,0.9977,"[0.39649584190707066, 0.1296328140652185, 2.028214857721529, 2.7678269552018686]"
wmt,stockcharts,2023-11-27 17:19:08.013043,0.9977,"[1.724913429975268, 0.08336318394135458, -0.16671658347144847, -1.0323825853525992]"
nvda,stockcharts,2023-11-27 17:19:08.013043,0.9977,"[0.043931266752745814, 0.7112957942435931, -2.1548091617089433, -2.1652732434133104]"
spx,stockcharts,2023-11-27 17:19:08.013634,0.6761,[]
gdx,stockcharts,2023-11-27 17:19:08.013634,0.6761,"[5.082464743901684, 5.015152219393762, 5.419053045992847, 7.068328664362869]"
gps,stockcharts,2023-11-27 17:19:08.015893,0.9818,"[3.4391514902094986, 6.6666680122389215, 6.190476719093862, 11.21693588371753]"
dba,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[0.6883873897563041, 1.3308811197527783, 2.2487368083082315, 1.055527914514371]"
dbc,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[0.8771891386297446, 1.5872980463221196, -0.12531614860587875, -0.5848007262902987]"
coin,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[13.9367580264848, 13.537038209183654, 10.783442167523285, 18.813281516521386]"
spy,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[0.06158556759172104, -0.008799856034086789, 0.38491147552911736, 0.9787775798462757]"
iwm,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[-0.25770684250262604, 0.26890516948967086, 0.6498619955794818, 3.5910384661677166]"
dia,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[0.13572956539959274, 0.2884339562786488, 1.8013163558613803, 2.663796278621178]"
qqq,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[0.3033322141227638, 0.20564709721755886, -0.04627726506776454, 0.23906651562553932]"
kre,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[0.06805530410786108, 2.1551654010433996, 2.3593399673985322, 7.667870038600443]"
smh,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[-0.30393591952233423, 0.6140711361295602, -0.4590035278259472, -0.05582206749113216]"
iyt,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[-0.6459606272394964, -0.304466358310013, 0.6171569558386605, 3.427279048122786]"
ibb,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[-0.6221083503613043, 0.32786834775467455, 1.6645678080976647, 3.068517544785734]"
xrt,stockcharts,2023-11-27 17:19:08.017698,0.9292,"[0.7385311521225039, 1.4142073138129205, 1.5084838052792438, 5.358271047790173]"
tsla,stockcharts,2023-11-27 17:19:08.018580,0.7096,"[4.14960608568613, 3.0604922194604085, 1.346617607170143, 0.8189465348493827]"
pltr,stockcharts,2023-11-27 17:19:08.019488,0.9469,"[3.0318868225335156, 3.7114533349139833, 4.8092008188937, 5.959233387396483]"
iwm,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[-0.25770684250262604, 0.26890516948967086, 0.6498619955794818, 3.5910384661677166]"
mdy,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[-0.411657857391354, -0.0343053667059186, 0.5188531316128043, 2.954481823095671]"
xlre,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[0.8530582608402643, 1.6235557240246044, 2.4490902198993463, 4.595482008621803]"
xlu,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[0.3984698650172388, -0.3984698650172388, 0.03187223865387521, 1.2591601525270848]"
xly,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[0.6772005550957958, 0.40394912044871756, 0.2613772430665145, 1.6335987048973335]"
xlb,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[0.4454350553216065, 0.9651061398690239, 1.9673397343343242, 3.130411765466634]"
xle,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[0.1893758624155283, -0.5562803084229547, 0.10652618009326661, 0.627291741859714]"
xlv,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[-0.9247280530579032, -0.8941638312257897, 0.3515410268412407, 0.7489458783546303]"
gps,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[3.4391514902094986, 6.6666680122389215, 6.190476719093862, 11.21693588371753]"
dwcree,stockcharts,2023-11-27 17:19:08.020957,0.9998,[]
djusra,stockcharts,2023-11-27 17:19:08.020957,0.9998,[]
djusib,stockcharts,2023-11-27 17:19:08.020957,0.9998,[]
djusrd,stockcharts,2023-11-27 17:19:08.020957,0.9998,[]
djusmf,stockcharts,2023-11-27 17:19:08.020957,0.9998,[]
djushn,stockcharts,2023-11-27 17:19:08.020957,0.9998,[]
stx,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[0.5882313048917484, 2.5882396822661358, 3.398690815844567, 3.503268372778799]"
wdc,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[1.0342588748426673, 1.9607839913898477, 4.093948571699582, 4.2663209410605845]"
nvda,stockcharts,2023-11-27 17:19:08.020957,0.9998,"[0.043931266752745814, 0.7112957942435931, -2.1548091617089433, -2.1652732434133104]"
tnx,stockcharts,2023-11-27 17:19:08.021948,0.9994,[]
xhb,stockcharts,2023-11-27 17:19:08.021948,0.9994,"[-0.2800386402417551, 0.7549041365105231, 0.998416805365342, 4.054550033381505]"
qqq,stockcharts,2023-11-27 17:19:08.021948,0.9994,"[0.3033322141227638, 0.20564709721755886, -0.04627726506776454, 0.23906651562553932]"
msft,stockcharts,2023-11-27 17:19:08.021948,0.9994,"[1.5712122317835906, 0.5493941639485168, 0.5653179281579048, -0.6024706781215174]"
botz,stockcharts,2023-11-27 17:19:08.021948,0.9994,"[-0.11455015667714386, 1.298205978063088, 0.916379405208744, 3.2073315595986718]"
remx,stockcharts,2023-11-27 17:19:08.021948,0.9994,"[0.2632529432853327, 0.29835378204340707, -0.3159008540222194, 1.84275051859598]"
